PIXEL,LABEL
134146,Collier Township
134146,South Fayette Township
134147,South Fayette Township
134148,South Fayette Township
134149,South Fayette Township
134150,South Fayette Township
134151,South Fayette Township
134152,South Fayette Township
134153,
135111,
135112,Marshall Township
135113,Marshall Township
135114,Marshall Township
135115,Marshall Township
135116,Marshall Township
135117,Marshall Township
135118,Marshall Township
135119,Franklin Park Borough
135119,Marshall Township
135120,Franklin Park Borough
135121,Bell Acres Borough
135121,Franklin Park Borough
135122,Bell Acres Borough
135122,Franklin Park Borough
135122,Sewickley Heights Borough
135122,Sewickley Hills Borough
135123,Sewickley Heights Borough
135123,Sewickley Hills Borough
135124,Sewickley Heights Borough
135124,Sewickley Hills Borough
135125,Sewickley Heights Borough
135126,Sewickley Heights Borough
135127,Aleppo Township
135127,Sewickley Heights Borough
135127,Sewickley Hills Borough
135128,Aleppo Township
135128,Sewickley Heights Borough
135129,Aleppo Township
135129,Glenfield Borough
135130,Glenfield Borough
135130,Neville Township
135130,Robinson Township
135131,Neville Township
135131,Robinson Township
135132,Robinson Township
135133,Robinson Township
135134,Robinson Township
135135,Robinson Township
135136,Robinson Township
135137,Robinson Township
135138,Robinson Township
135139,Collier Township
135139,Robinson Township
135140,Collier Township
135140,Robinson Township
135141,Collier Township
135142,Collier Township
135143,Collier Township
135144,Collier Township
135145,Collier Township
135146,Collier Township
135146,South Fayette Township
135147,South Fayette Township
135148,South Fayette Township
135149,South Fayette Township
135150,South Fayette Township
135151,South Fayette Township
135152,South Fayette Township
135153,
136111,
136112,Marshall Township
136113,Marshall Township
136114,Marshall Township
136115,Marshall Township
136116,Marshall Township
136117,Marshall Township
136118,Marshall Township
136119,Franklin Park Borough
136119,Marshall Township
136120,Franklin Park Borough
136121,Franklin Park Borough
136122,Franklin Park Borough
136122,Sewickley Hills Borough
136123,Franklin Park Borough
136123,Sewickley Heights Borough
136123,Sewickley Hills Borough
136124,Sewickley Heights Borough
136124,Sewickley Hills Borough
136125,Sewickley Heights Borough
136125,Sewickley Hills Borough
136126,Ohio Township
136126,Sewickley Heights Borough
136126,Sewickley Hills Borough
136127,Aleppo Township
136127,Ohio Township
136127,Sewickley Heights Borough
136127,Sewickley Hills Borough
136128,Aleppo Township
136128,Kilbuck Township
136128,Ohio Township
136128,Sewickley Hills Borough
136129,Aleppo Township
136129,Glenfield Borough
136129,Kilbuck Township
136130,Glenfield Borough
136130,Kilbuck Township
136130,Neville Township
136131,Kennedy Township
136131,Neville Township
136131,Robinson Township
136132,Kennedy Township
136132,Robinson Township
136133,Kennedy Township
136133,Robinson Township
136134,Kennedy Township
136134,Robinson Township
136135,Kennedy Township
136135,Robinson Township
136136,Robinson Township
136137,Robinson Township
136138,Robinson Township
136139,Robinson Township
136140,Collier Township
136140,Robinson Township
136141,Collier Township
136142,Collier Township
136143,Collier Township
136144,Collier Township
136145,Collier Township
136146,Bridgeville Borough
136146,Collier Township
136146,South Fayette Township
136147,Bridgeville Borough
136147,Collier Township
136147,South Fayette Township
136148,Bridgeville Borough
136148,South Fayette Township
136149,South Fayette Township
136149,Upper St. Clair Municipality
136150,South Fayette Township
136150,Upper St. Clair Municipality
136151,South Fayette Township
136151,Upper St. Clair Municipality
136152,South Fayette Township
136152,Upper St. Clair Municipality
136153,Upper St. Clair Municipality
136154,
137111,
137112,Marshall Township
137113,Marshall Township
137114,Marshall Township
137115,Marshall Township
137116,Marshall Township
137117,Marshall Township
137118,Marshall Township
137119,Franklin Park Borough
137119,Marshall Township
137120,Franklin Park Borough
137121,Franklin Park Borough
137122,Franklin Park Borough
137123,Franklin Park Borough
137123,Ohio Township
137123,Sewickley Hills Borough
137124,Franklin Park Borough
137124,Ohio Township
137124,Sewickley Hills Borough
137125,Ohio Township
137125,Sewickley Hills Borough
137126,Ohio Township
137126,Sewickley Hills Borough
137127,Ohio Township
137128,Kilbuck Township
137128,Ohio Township
137129,Kilbuck Township
137130,Emsworth Borough
137130,Kilbuck Township
137130,Neville Township
137131,Emsworth Borough
137131,Kennedy Township
137131,Kilbuck Township
137131,Neville Township
137131,Robinson Township
137132,Kennedy Township
137132,Neville Township
137133,Kennedy Township
137134,Kennedy Township
137135,Kennedy Township
137135,Robinson Township
137136,Kennedy Township
137136,Robinson Township
137137,Kennedy Township
137137,Robinson Township
137138,Robinson Township
137139,Pennsbury Village Borough
137139,Robinson Township
137140,Collier Township
137140,Pennsbury Village Borough
137140,Robinson Township
137141,Collier Township
137141,Robinson Township
137142,Collier Township
137142,Robinson Township
137143,Collier Township
137144,Collier Township
137145,Collier Township
137146,Collier Township
137147,Bridgeville Borough
137147,Collier Township
137148,Bridgeville Borough
137148,South Fayette Township
137148,Upper St. Clair Municipality
137149,South Fayette Township
137149,Upper St. Clair Municipality
137150,South Fayette Township
137150,Upper St. Clair Municipality
137151,South Fayette Township
137151,Upper St. Clair Municipality
137152,Upper St. Clair Municipality
137153,Upper St. Clair Municipality
137154,
138111,
138112,Marshall Township
138113,Marshall Township
138114,Marshall Township
138115,Marshall Township
138116,Marshall Township
138117,Marshall Township
138118,Marshall Township
138119,Franklin Park Borough
138119,Marshall Township
138120,Franklin Park Borough
138121,Franklin Park Borough
138122,Franklin Park Borough
138123,Franklin Park Borough
138124,Franklin Park Borough
138124,Ohio Township
138125,Franklin Park Borough
138125,Ohio Township
138126,Ohio Township
138127,Ohio Township
138128,Kilbuck Township
138128,Ohio Township
138129,Kilbuck Township
138129,Ohio Township
138130,Emsworth Borough
138130,Kilbuck Township
138131,Emsworth Borough
138131,Neville Township
138132,Kennedy Township
138132,Neville Township
138132,Stowe Township
138133,Kennedy Township
138133,Stowe Township
138134,Kennedy Township
138135,Kennedy Township
138136,Kennedy Township
138136,Pittsburgh
138137,Kennedy Township
138137,Pittsburgh
138137,Robinson Township
138138,Robinson Township
138139,Pennsbury Village Borough
138139,Robinson Township
138139,Rosslyn Farms Borough
138139,Thornburg Borough
138140,Pennsbury Village Borough
138140,Robinson Township
138140,Rosslyn Farms Borough
138141,Carnegie Borough
138141,Robinson Township
138141,Rosslyn Farms Borough
138142,Carnegie Borough
138142,Collier Township
138142,Robinson Township
138143,Carnegie Borough
138143,Collier Township
138143,Heidelberg Borough
138143,Scott Township
138144,Collier Township
138144,Heidelberg Borough
138144,Scott Township
138145,Collier Township
138145,Scott Township
138146,Collier Township
138146,Scott Township
138147,Bridgeville Borough
138147,Collier Township
138147,Scott Township
138147,Upper St. Clair Municipality
138148,Bridgeville Borough
138148,Upper St. Clair Municipality
138149,Upper St. Clair Municipality
138150,Upper St. Clair Municipality
138151,Upper St. Clair Municipality
138152,Upper St. Clair Municipality
138153,Upper St. Clair Municipality
138154,Upper St. Clair Municipality
138155,
139111,
139112,Marshall Township
139113,Marshall Township
139114,Marshall Township
139115,Marshall Township
139116,Bradford Woods Borough
139116,Marshall Township
139117,Bradford Woods Borough
139117,Marshall Township
139118,Marshall Township
139119,Franklin Park Borough
139119,Marshall Township
139120,Franklin Park Borough
139121,Franklin Park Borough
139122,Franklin Park Borough
139123,Franklin Park Borough
139124,Franklin Park Borough
139125,Franklin Park Borough
139125,Ohio Township
139126,Franklin Park Borough
139126,Ohio Township
139127,Ohio Township
139128,Ohio Township
139129,Kilbuck Township
139129,Ohio Township
139130,Ben Avon Borough
139130,Emsworth Borough
139130,Kilbuck Township
139131,Ben Avon Borough
139131,Emsworth Borough
139131,Kilbuck Township
139131,Neville Township
139132,Ben Avon Borough
139132,Neville Township
139132,Stowe Township
139133,Kennedy Township
139133,Neville Township
139133,Stowe Township
139134,Kennedy Township
139134,Stowe Township
139135,Kennedy Township
139135,McKees Rocks Borough
139135,Stowe Township
139136,Kennedy Township
139136,McKees Rocks Borough
139136,Pittsburgh
139137,Pittsburgh
139137,Robinson Township
139138,Crafton Borough
139138,Pittsburgh
139138,Robinson Township
139138,Thornburg Borough
139139,Crafton Borough
139139,Robinson Township
139139,Rosslyn Farms Borough
139139,Thornburg Borough
139140,Crafton Borough
139140,Pittsburgh
139140,Rosslyn Farms Borough
139140,Thornburg Borough
139141,Carnegie Borough
139141,Pittsburgh
139141,Rosslyn Farms Borough
139141,Scott Township
139142,Carnegie Borough
139142,Scott Township
139143,Carnegie Borough
139143,Heidelberg Borough
139143,Scott Township
139144,Heidelberg Borough
139144,Scott Township
139145,Mount Lebanon
139145,Scott Township
139146,Mount Lebanon
139146,Scott Township
139147,Scott Township
